Table 1
Farmacia;Nombre fantasía;RUT;RUT_SDV;Rut destinatario;Pais;Región;Comuna;Dirección;Telefono_fijo;Latitud;Longitud;Tipo;Horario;Proceso evaluacion;Venta Online;Despacho;Pagina Web
FARMACIA 21 DE MAYO;Farmacia 21 De Mayo;76779332-4;76779332;;Chile;VIII Región del Biobío;Concepción;Av.21 De Mayo 2637 L-3 Lorenzo Arenas;977657502;-36,819090;-72,987690;Farmacia Independiente;Lunes a Sábado de 10:00 a 14:00 horas y de 16:00 a 20:00 horas;CONVENIO FIRMADO;0;;
FARMACIA 24 HORAS;Farmacia 24 Horas;76758381-8;76758381;;Chile;XV Región de Arica y Parinacota;Arica;Chacabuco 410;582252778;-18,476600;-70,315020;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
ALAMED;Farmacia Alamed;76760895-0;76760895;203406;Chile;VI Región del Libertador General Bernardo O’Higgins;Rancagua;Alameda 516 Local 1;*Sin Información;-34,165560;-70,743760;Farmacia Independiente;Lunes a Viernes de 09:30 a 19:30 horas y Sábado de 10:00 a 14:30 horas;CONVENIO FIRMADO;0;;
ALEJANDRO VILLARROEL;Farmacia Alejandro Villarroel;10350595-k;10350595;;Chile;VIII Región del Biobío;Los Ángeles;Marbella 1141, Villa España;966781173;-37,459320;-72,338250;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMACIA ALMA-RA;Farmacia Alma-Ra;77027128-2;77027128;203361;Chile;V Región de Valparaíso;Viña Del Mar;Arlegui 367 A;452988817;-33,023090;-71,557240;Farmacia Independiente;Lunes a Viernes de 09:00 a 18:00 horas;CONVENIO FIRMADO;0;;
FARMACIAS AMIGA;Farmacia Amiga;76804558-5;76804558;203344;Chile;Región Metropolitana de Santiago;Providencia;Los Leones 044;*Sin Información;-33,420390;-70,605550;Farmacia Independiente;Lunes a Viernes de 08:00 a 21:00 horas y Sábado de 08:00 a 15:00 horas;PENDIENTE;0;;
FARMACIA ANÍBAL PINTO;Farmacia Aníbal Pinto;76755231-9;76755231;203832;Chile;VIII Región del Biobío;Concepción;Aníbal Pinto 1828;*Sin Información;-36,811010;-73,059550;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIA ARAUCO;Farmacia Arauco;79530600-5;79530600;203768;Chile;I Región de Tarapacá;Iquique;Vivar 976;572419122;-20,217120;-70,148630;Farmacia Independiente;Lunes a Viernes de 09:30 a 21:15 horas y Sábado de 10:30 a 15:00 horas;CONVENIO FIRMADO;0;;
FARMACIAS ARCA;Farmacia Arca;76438041-K;76438041;203467;Chile;Región Metropolitana de Santiago;Melipilla;Baztan 210;228324258;-33,682147;-71,226306;Farmacia Independiente;Lunes a Sábado de 10:00 a 14:00 horas y de 16:00 a 20:30 horas;CONVENIO FIRMADO;0;;
FARMACIA ARCOIRIS;Farmacia Arcoiris;76835917-2;76835917;;Chile;VIII Región del Biobío;Tucapel;12 De Febrero 93B, Huepil;432212200;-37,241417;-71,942454;Farmacia Independiente;Lunes a Viernes de 09:00 a 14:30 horas y de 15:30 a 20:00 horas y Sábado de 10:00 a 15:00 horas;CONVENIO FIRMADO;0;;
FARMACIA BICHARA;Farmacia Bichara;77018656-0;77018656;;Chile;VI Región del Libertador General Bernardo O’Higgins;Rancagua;Brasil 1033;*Sin Información;-34,169020;-70,753180;Farmacia Independiente;Lunes a Viernes de 10:00 a 20:00 horas y Sábado de 10:00 a 15:00 horas;EN PROCESO DE FIRMA;0;;
FARMACIA BIENESTAR;Farmacia Bienestar;77018918-7;77018918;203516;Chile;Región Metropolitana de Santiago;La Cisterna;Gran Avenida Jose Miguel Carrera 8766;224750880;-33,536530;-70,663940;Farmacia Independiente;Lunes a Viernes de 11:00 a 20:00 horas y Sábado de 11:00 a 15:00 horas;CONVENIO FIRMADO;0;;
bio cuba;Farmacia Bio Cuba;77002843-4;77002843;203350;Chile;Región Metropolitana de Santiago;Maipú;Maipu 036 Local A;*Sin Información;-33,506930;-70,756640;Farmacia Independiente;Lunes a Viernes de 09:00 a 20:00 horas y Sábado de 10:00 a 19:00 horas;CONVENIO FIRMADO;0;;
BIOFAR SPA;Farmacia Biofar;18165689-1;18165689;;Chile;Región Metropolitana de Santiago;Ñuñoa;Eduardo Castillo Velasco 5474;967221517;-33,462165;-70,574791;Farmacia Independiente;Lunes a Viernes de 09:00 a 20:00 horas y Sábado de 10:00 a 19:00 horas;CONVENIO FIRMADO;0;;
FARMACIA BLANCO;Farmacia Blanco;5789314-1;5789314;;Chile;Región Metropolitana de Santiago;Ñuñoa;Hamburgo 1065;560000000000;-33,444650;-70,577200;Farmacia Independiente;Lunes a Sábado de 11:00 a 15:00 horas y de 17:00 a 22:00 horas;PENDIENTE;0;;
FARMACIA BULFOR;Farmacia Bulfor;76186755-5;76186755;203423;Chile;Región Metropolitana de Santiago;Santiago;Coquimbo 35;226355809;-33,453210;-70,633280;Farmacia Independiente;Lunes a Viernes de 08:00 a 21:00 horas y Sábado de 10:00 a 16:00 horas;CONVENIO FIRMADO;0;;
FARMACIA BURSAN;Farmacia Bursan;76916768-4;76916768;203360;Chile;V Región de Valparaíso;Valparaíso;Pedro Montt 2251;323621702;-33,047210;-71,612720;Farmacia Independiente;Lunes a Viernes de 09:00: a 13:30 horas y de 16:00 a 20:00 horas y Sábado 09:30 a 14:00 horas;CONVENIO FIRMADO;0;;
FARMACIA CABILDO;Farmacia Cabildo;13668653-4;13668653;;Chile;V Región de Valparaíso;Cabildo;Avenida Humeres 753;*Sin Información;-32,426940;-71,067820;Farmacia Independiente;Lunes a Sábado de 09:00 a 13:00 horas y de 17:00 a 21:00 horas;PENDIENTE;0;;
FARMACIA CENTRO DE SALUD;Farmacia Centro De Salud;78956230-K;78956230;203353;Chile;Región Metropolitana de Santiago;Estación Central;Libertador Bernardo Ohiggins 6064;*Sin Información;-33,457860;-70,706430;Farmacia Independiente;Lunes a Viernes de 08:00 a 21:00 horas y Sábado de 09:00 a 18:00 horas;CONVENIO FIRMADO;0;;
FARMACIA CHANCO;Farmacia Chanco;12317398-8;12317398;;Chile;VII Región del Maule;Chanco;Abdon Fuentealba 202;732489313;-35,733450;-72,533360;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMACIA CHANCO;Farmacia Chanco;12317398-8;12317398;;Chile;VII Región del Maule;Curanipe;Padre Samuel Jofre 441;732489313;-35,845920;-72,636890;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMACIA CHANCO;Farmacia Chanco;12317398-8;12317398;;Chile;VII Región del Maule;Pelluhue;Arturo Prat 560;732489313;-35,814383;-72,576532;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
ALMACÉN FARMACÉUTICO CHÉPICA;Farmacia Chépica;6287370-1;6287370;;Chile;VI Región del Libertador General Bernardo O’Higgins;Chépica;Avenida 18 De Septiembre 3480-B;722817316;-34,727230;-71,273860;Farmacia Independiente;Lunes a Sábado de 10:00 a 14:00 horas y de 15:00 a 20:00 horas y Domingo (incluyendo festivos) de 10:00 a 13:00 horas;PENDIENTE;0;;
FARMACIA CHICUREO;Farmacia Chicureo;7249860-7;7249860;;Chile;Región Metropolitana de Santiago;Colina;Avenida Chicureo 3100 Local 4;229986256;-33,286833;-70,669728;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMACIA CHOAPA;Farmacia Choapa;6364233-9;6364233;;Chile;IV Región de Coquimbo;Salamanca;Manuel Bulnes 498 Local 4;56532551067;-31,781400;-70,964440;Farmacia Independiente;Lunes a Sábado de 09:00 a 13:00 horas y de 15:00 a 21:15 horas;PENDIENTE;0;;
FARMACIA COBRE SPA. CALAMA;Farmacia Cobre;77032789-k;77032789;;Chile;II Región de Antofagasta;Calama;Avenida Latorre #1726;652757307;-22,453910;-68,926740;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
"SUCESION BERNARDO MARDORF G ""FARMACIA CONDELL""";Farmacia Condell;53089250-6;53089250;;Chile;X Región de Los Lagos;Fresia;San Carlos 424;65 2441391;-41,152140;-73,419160;Farmacia Independiente;Lunes a Viernes de 09:00 a 12:00 y de 14:00 a 19:00 horas y Sábado de 09:00 a 13:00 horas;PENDIENTE;0;;
Farmacia Constitución;Farmacia Constitución;6720205-8;6720205;;Chile;VII Región del Maule;Constitución;Infante 207 L3;*Sin Información;-35,335000;-72,406070;Farmacia Independiente;Lunes a Sábado de 10:30 a 14:30 horas y de 15:30 a 17:30 horas;EN PROCESO DE FIRMA;0;;
FARMACIA CORDILLERA 1;Farmacia Cordillera;76756918-1;76756918;;Chile;VI Región del Libertador General Bernardo O’Higgins;Rancagua;Av El Sol 1905;722263645;-34,161339;-70,704634;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMACIA CORDILLERA 2;Farmacia Cordillera;76756918-1;76756918;;Chile;VI Región del Libertador General Bernardo O’Higgins;Requinoa;Rafael Tagle 88;722552538;-34,286350;-70,817680;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMACIA CRUZ DE ORO;Farmacia Cruz De Oro;77697910-4;77697910;;Chile;VII Región del Maule;Curicó;Peña 851;93272670;-34,982090;-71,241920;Farmacia Independiente;Lunes a Sábado de 10:00 a 21:00 horas;PENDIENTE;0;;
FARMACIA CRUZ DEL SUR;Farmacia Cruz Del Sur;7085540-2;7085540;;Chile;VI Región del Libertador General Bernardo O’Higgins;San Vicente De Tagua Tagua;Av German Riesco 1096;722573184;-34,439036;-71,079198;Farmacia Independiente;Lunes a Viernes de 09:00 a 21:30 horas y Sábado de 09:00 a 20:00 horas;CONVENIO FIRMADO;0;;
JUAN DANIEL ZAPATA ZAPATA (FCIA.DANIELA);Farmacia Daniela;5923094-8;5923094;203327;Chile;Región Metropolitana de Santiago;Santiago;Av.Portugal 16;222222969;-33,440540;-70,639950;Farmacia Independiente;Lunes a Sábado de 08:30 a 21:30 horas;CONVENIO FIRMADO;0;;
FARMACIA DEL BARRIO 1;Farmacia Del Barrio;6904972-9;6904972;203559;Chile;Región Metropolitana de Santiago;Santiago;Roberto Espinoza 1404;222664107;-33,464240;-70,651840;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIA DEL BARRIO 2;Farmacia Del Barrio;6904972-9;6904972;;Chile;Región Metropolitana de Santiago;Lo Prado;Av Dorsal 5924;222664107;-33,450950;-70,715020;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
Farmacia del Recetario;Farmacia Del Recetario;08180861-9;8180861;203383;Chile;XII Región de Magallanes y Antártica Chilena;Punta Arenas;Federico Errazuriz 567 B;612246319;-53,163050;-70,912320;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
DOCTOR AHORRO;Farmacia Doctor Ahorro;76832448-4;76832448;;Chile;Región Metropolitana de Santiago;Maipú;Calle Monumento 1954;*Sin Información;-33,509620;-70,758810;Farmacia Independiente;Lunes a Viernes de 08:00 a 21:00 horas y Sábado de 09:00 a 21:00 horas;EN PROCESO DE FIRMA;0;;
DR.MANUEL NEIRA;Farmacia Dr.Manuel Neira;89806300-3;89806300;;Chile;Región Metropolitana de Santiago;Las Condes;Paul Harris 10140;2223731611;-33,386840;-70,531900;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
Farmacia ecomax;Farmacia Ecomax;77354680-0;77354680;203491;Chile;IX Región de La Araucanía;Temuco;Avenida Francisco Salazar 1650, Interior Supermercado Mayorista10.;452344970;-38,753150;-72,618790;Farmacia Independiente;Lunes a Sábado de 08:00 a 23:00 y Domingo de 09:00: a 22:00 horas;CONVENIO FIRMADO;0;;
Farmacia Eduardo Sandoval E.I.RL.;Farmacia Eduardo Sandoval;77022952-9;77022952;203417;Chile;VII Región del Maule;Linares;Chacabuco 456 A;228913462;-35,847100;-71,596110;Farmacia Independiente;Lunes a Viernes de 10:00 a 20:00 horas;CONVENIO FIRMADO;0;;
farmacia Ekis;Farmacia Ekis;77014516-3;77014516;203439;Chile;V Región de Valparaíso;Valparaíso;Esmeralda 1132;32259863;-33,042540;-71,624760;Farmacia Independiente;Lunes a Sábado de 11:00 a 17:00 horas;CONVENIO FIRMADO;0;;
FARMACIA EL CARMEN;Farmacia El Carmen;13127334-7;13127334;;Chile;VII Región del Maule;Linares;Calle Brazil 699;732219028;-35,845164;-71,590701;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMACIA EL CARMEN;Farmacia El Carmen;08799986-6;8799986;;Chile;VII Región del Maule;Longaví;1 Norte N° 201;732411335;-35,965870;-71,683850;Farmacia Independiente;Lunes a Sábado de 09:00 a 13:00 horas y de 15:00 a 21:00 horas;PENDIENTE;0;;
FARMACIA EL CARMEN N°2;Farmacia El Carmen;13127334-7;13127334;;Chile;VII Región del Maule;Colbún;Avenida Bernardo O´Higgins Nº479-B;732219028;-35,696122;-71,406668;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMACIA EL MELON;Farmacia El Melon;76062957-k;76062957;;Chile;V Región de Valparaíso;Nogales;Isabel Brown 123;332385420;-32,689240;-71,214810;Farmacia Independiente;Lunes a Viernes de 12:00 a 21:00 horas y Sábado de 9:00 a 13:00 horas;PENDIENTE;0;;
FARMACIA EL QUIMICO;Farmacia El Quimico;77005334-k;77005334;203762;Chile;Región Metropolitana de Santiago;La Florida;Enrique Olivares 1278;*Sin Información;-33,5396348;-70,5746;Farmacia Independiente;Lunes a Jueves de 10:00 a 20:00 horas y Viernes a Sábado de 10:00 a 14:00 horas;CONVENIO FIRMADO;0;;
ALMACÉN FARMACÉUTICO “EL TOLE”;Farmacia El Tole;11687678-7;11687678;;Chile;IX Región de La Araucanía;Galvarino;Independencia 248 Local C;*Sin Información;-38,410490;-72,785190;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
FARMACIA ELEGIMOS CRECER;Farmacia Elegimos Crecer;65168891-4;65168891;203511;Chile;Región Metropolitana de Santiago;Peñalolén;Avenida El Valle N 6381 Local N2;*Sin Información;-33,477120;-70,569120;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
FARMACIA ESBAL;Farmacia Esbal;76303756-8;76303756;;Chile;IV Región de Coquimbo;La Serena;Las Orquideas 4369 Local 19;512273197;-29,915722;-71,213842;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMACIA EXPRESS TALCA;Farmacia Express Talca;11321159-8;11321159;;Chile;VII Región del Maule;Talca;8 Sur 29 Y 30 Oriente 2987;712247665;-35,440740;-71,632960;Farmacia Independiente;Lunes a Sábado de 10:00 a 14:00 horas y de 15:30 a 20:00 horas;EN PROCESO DE FIRMA;0;;
Farmacia Bosquemar;Farmacia Farmacia Bosquemar;13813286-2;13813286;;Chile;X Región de Los Lagos;Puerto Montt;El Refugio 1599;*Sin Información;-41,485950;-73,002690;Farmacia Independiente;*Sin Información;EN PROCESO DE FIRMA;0;;
FARMACIA FARMACUBA;Farmacia Farmacuba;76477733-6;76477733;203696;Chile;Región Metropolitana de Santiago;Recoleta;Buenos Aires 415;227326550;-33,426990;-70,643740;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIA FARMAEXPRESS SPA;Farmacia Farmaexpress;76186864-0;76186864;;Chile;IX Región de La Araucanía;Angol;Ilabaca 810;452713754;-37,793570;-72,705790;Farmacia Independiente;Lunes a Sábado de 09:00 a 22:00 horas;PENDIENTE;0;;
FARMACIA FARMAMARKET;Farmacia Farmamarket;76031958-9;76031958;;Chile;Región Metropolitana de Santiago;Isla De Maipo;Calle Galvez N. 6;228846203;-33,756330;-70,896600;Farmacia Independiente;Lunes a Sábado de 08:30 a 23:00 horas y Domingo de 09:30 a 21:30 horas;CONVENIO FIRMADO;0;;
FARMACIA FARMAMARKET;Farmacia Farmamarket;76031958-9;76031958;;Chile;Región Metropolitana de Santiago;Isla De Maipo;Balmaceda 4316 Local 3;228846203;-33,741063;-70,861907;Farmacia Independiente;Lunes a Sábado de 09:00 a 22:00 horas y Domingo de 09:00 a 21:00 horas (incluido festivos);CONVENIO FIRMADO;0;;
FARMACIA FARMAMARKET;Farmacia Farmamarket;76031958-9;76031958;203470;Chile;Región Metropolitana de Santiago;Padre Hurtado;El Manzano 285 Local1;22884203;-33,568150;-70,809170;Farmacia Independiente;Lunes a Sábado de 08:30 a 23:00 horas y Domingo de 09:30 a 21:30 horas;CONVENIO FIRMADO;0;;
FARMACIA FARMAMARKET;Farmacia Farmamarket;76031958-9;76031958;203472;Chile;Región Metropolitana de Santiago;Peñaflor;Av. Vicuña Mackenna N.1374 Local A,B Y C;228846203;-33,610260;-70,863380;Farmacia Independiente;Lunes a Sábado de 08:30 a 23:00 horas y Domingo de 09:30 a 21:30 horas;CONVENIO FIRMADO;0;;
FARMACIA FARMAMARKET;Farmacia Farmamarket;76031958-9;76031958;;Chile;Región Metropolitana de Santiago;Peñaflor;Miraflores 932 Local 2;228846203;-33,601340;-70,863280;Farmacia Independiente;Lunes a Domingo de 09:00 a 21:00 horas;CONVENIO FIRMADO;0;;
FARMACIA FARMAMARKET;Farmacia Farmamarket;76031958-9;76031958;;Chile;Región Metropolitana de Santiago;Talagante;Balmaceda 1147 Local 4;228846203;-33,665380;-70,925250;Farmacia Independiente;Lunes a Sábado de 09:00 a 22:00 horas y Domingo de 09:00 a 21:00 horas;CONVENIO FIRMADO;0;;
FARMACIA FARMASANA;Farmacia Farmasana;76994689-6;76994689;;Chile;Región Metropolitana de Santiago;Huechuraba;Av Recoleta 5802;*Sin Información;-33,371000;-70,635520;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIA FARMISALUD;Farmacia Farmisalud;77060698-5;77060698;;Chile;V Región de Valparaíso;Villa Alemana;Bernardo Leighton 71;*Sin Información;-33,066780;-71,363100;Farmacia Independiente;Lunes a Sábado de 09:00 a 18:00 horas;EN PROCESO DE FIRMA;0;;
FARMACIA GALENO;Farmacia Galeno;77583240-1;77583240;203374;Chile;VI Región del Libertador General Bernardo O’Higgins;Rancagua;Freire 480;722427056;-34,172170;-70,734810;Farmacia Independiente;Lunes a Sábado de 09:00 a 22:00 horas y Domingo de 11:00 a 21:00 horas;CONVENIO FIRMADO;0;;
SOCIEDAD DE FARMACIA GALENO SPA;Farmacia Galeno;76724575-0;76724575;203896;Chile;II Región de Antofagasta;Antofagasta;Maipu 220;*Sin Información;-23,6470799;-70,4011816;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIA GUZMAN;Farmacia Guzman;76794808-5;76794808;;Chile;IX Región de La Araucanía;Angol;"Avda. O""Higgins 253";452711990;-37,801620;-72,699670;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMACIA HERGOFAR;Farmacia Hergofar;78621070-4;78621070;;Chile;Región Metropolitana de Santiago;Las Condes;Malaga 115;222445958;-33,415700;-70,586820;Farmacia Independiente;Lunes a Viernes de 09:00 a 19:00 horas y Sábado de 09:00 a 12:30 horas;PENDIENTE;0;;
FARMACIAS HERRERA;Farmacia Herrera;76133541-3;76133541;;Chile;Región Metropolitana de Santiago;La Florida;Vicuña Mackenna 12321;*Sin Información;-33,566640;-70,586170;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMACIAS HERRERA;Farmacia Herrera;76133541-3;76133541;203336;Chile;Región Metropolitana de Santiago;La Florida;Froilan Roa 580 Local 7;982315700;-33,515180;-70,599063;Farmacia Independiente;Lunes a Viernes de 11:00 a 20:00 horas y Sábado de 09:00 a 14:00 horas;CONVENIO FIRMADO;0;;
FARMACIAS HERRERA;Farmacia Herrera;76133541-3;76133541;203767;Chile;VI Región del Libertador General Bernardo O’Higgins;Rengo;Manuel Solis 340 (Interior De Superbodega Acuenta);939534084;-34,404698;-70,861265;Farmacia Independiente;Lunes a Sábado de 09:00 a 20:00 horas;EN PROCESO DE FIRMA;0;;
FARMACIAS HERRERA;Farmacia Herrera;76133541-3;76133541;;Chile;Región Metropolitana de Santiago;Maipú;Av El Rosal 6361;*Sin Información;-33,479640;-70,757210;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMACIAS HERRERA;Farmacia Herrera;76133541-3;76133541;;Chile;Región Metropolitana de Santiago;Maipú;Av El Monumento 2194;*Sin Información;-33,507330;-70,758980;Farmacia Independiente;*Sin Información;PENDIENTE;0;;
FARMACIA IBERIA;Farmacia Iberia;79769700-1;79769700;;Chile;V Región de Valparaíso;Valparaíso;Victoria 3092;322255093;-33,050780;-71,602980;Farmacia Independiente;Lunes a Sábado de 09:00 a 17:00 horas;PENDIENTE;0;;
FARMACIA JARUFE;Farmacia Jarufe;6679894-1;6679894;203392;Chile;IV Región de Coquimbo;Salamanca;Matilde Salamanca 199C;227232469;-31,778460;-70,964440;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
Farmacia Klayaa;Farmacia Farmasalud;76891019-7;76891019;203365;Chile;III Región de Atacama;Copiapó;Av El Palomar 1525 Local 3;*Sin Información;-27,381070;-70,330440;Farmacia Independiente;Lunes a Sábado de 09:00 a 22:30 horas y Domingo de 09:30 a 22:00 horas;CONVENIO FIRMADO;0;;
FARMACIAS LA BOTIKA LOCAL 6;Farmacia La Botika;76167832-9;76167832;;Chile;Región Metropolitana de Santiago;Pedro Aguirre Cerda;Avda Central N°6008-A;229190972;-33,504865;-70,692008;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIAS LA BOTIKA LOCAL 5;Farmacia La Botika;76167832-9;76167832;203719;Chile;Región Metropolitana de Santiago;Pedro Aguirre Cerda;Avda Central N°6398;229190972;-33,5048719;-70,6920064;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIAS LA BOTIKA LOCAL 4;Farmacia La Botika;12262093-K;12262093;;Chile;Región Metropolitana de Santiago;Renca;Avda Domingo Santa María N°3305;*Sin Información;-33,409810;-70,690660;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIAS LA BOTIKA LOCAL 15;Farmacia La Botika;76167832-9;76167832;;Chile;Región Metropolitana de Santiago;Puente Alto;Avda El Peñon N°1467;229190972;-33,580080;-70,564000;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIAS LA BOTIKA LOCAL 1;Farmacia La Botika;13080666-K;13080666;203699;Chile;Región Metropolitana de Santiago;Puente Alto;Avda Gabriela Poniente N°1700-1706;*Sin Información;-33,582370;-70,601530;Farmacia Independiente;Lunes a Domingo (incluyendo festivos) de 09:00 a 00:00 horas;CONVENIO FIRMADO;0;;
FARMACIAS LA BOTIKA LOCAL 16;Farmacia La Botika;76167832-9;76167832;203724;Chile;Región Metropolitana de Santiago;Santiago;Avda General Mackenna N°1555 Local 4;229190972;-33,4332564;-70,6596704;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIAS LA BOTIKA LOCAL 11;Farmacia La Botika;76167832-9;76167832;;Chile;Región Metropolitana de Santiago;Quinta Normal;Avda Mapocho N°4131;229190972;-33,431830;-70,691150;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIAS LA BOTIKA LOCAL 10;Farmacia La Botika;76167832-9;76167832;203729;Chile;Región Metropolitana de Santiago;Quinta Normal;Avda Mapocho N°5041, Local 5;229190972;-33,427969;-70,704310;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIAS LA BOTIKA LOCAL 17;Farmacia La Botika;76167832-9;76167832;203723;Chile;Región Metropolitana de Santiago;Puente Alto;Avda Mexico N° 1915;229190972;-33,592940;-70,559120;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
FARMACIAS LA BOTIKA LOCAL 2;Farmacia La Botika;12262093-K;12262093;;Chile;Región Metropolitana de Santiago;Peñalolén;Avda San Luis De Macul N°6248, Local 1;*Sin Información;-33,507480;-70,568430;Farmacia Independiente;*Sin Información;CONVENIO FIRMADO;0;;
